pool_row_id,pool_row,name,path,parent,grandparent,condition,genotype,age,sex,branch_order,direction,depth,note,accept,channel,roi_id,step_y,step_x,analysis_date,analysis_time,analysis_version,status,num_timepoints,num_peaks,num_space_pixels,seconds_per_line,f0_baseline,baseline_method,baseline_percentile,manual_f0_baseline,detrend_method,detection_method,detection_source,peak_search_window_ms,width_search_window_ms,baseline_window_ms,peak_amplitude_mean,peak_amplitude_median,error_count,errors_text,peak_row_type,peak_id,peak_status,peak_warning_count,peak_warnings_text,onset_index,onset_time_sec,onset_value,peak_index,peak_time_sec,peak_value,peak_amplitude,peak_detection_method,onset_to_onset_interval_sec,peak_to_peak_interval_sec,baseline_mean,baseline_mean_status,baseline_mean_reason,baseline_std,baseline_std_status,baseline_std_reason,prominence,prominence_status,prominence_reason,rise_10_90_sec,rise_10_90_sec_status,rise_10_90_sec_reason,decay_90_10_sec,decay_90_10_sec_status,decay_90_10_sec_reason,decay_time_sec,decay_time_sec_status,decay_time_sec_reason,max_rise_slope,max_rise_slope_status,max_rise_slope_reason,max_decay_slope,max_decay_slope_status,max_decay_slope_reason,auc,auc_status,auc_reason,width_10_value,width_10_left_index,width_10_right_index,width_10_points,width_10_sec,width_10_status,width_20_value,width_20_left_index,width_20_right_index,width_20_points,width_20_sec,width_20_status,width_50_value,width_50_left_index,width_50_right_index,width_50_points,width_50_sec,width_50_status,width_80_value,width_80_left_index,width_80_right_index,width_80_points,width_80_sec,width_80_status,width_90_value,width_90_left_index,width_90_right_index,width_90_points,width_90_sec,width_90_status
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif|channel=0|roi_id=1|peak_row_type=peak|peak_id=3,56,220110n_0036.tif,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif,220110n_0036.tif.frames,Control,,,,,,,,,True,0,1,0.0043884,0.414,260710,19:50:11.624,1,ok,2500,11,269,0.0043884,1238.0176882149879,percentile,20.0,1.0,single_exponential,derivative_threshold,df_f_signal,150.0,500.0,100.0,0.8625300487136133,0.8770590178424756,0,,peak,3,ok,0,,572,2.5101648,-0.12160132465341228,606,2.6593704,0.6958961519058738,0.8174974765592862,derivative_threshold,0.9873900000000002,0.98739,-0.10106399321347925,ok,,0.016728549123637974,ok,,0.7969601451193531,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,7.137298317030883,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.03985157699748365,575.0427987529439,,,,right_not_found_within_width_search_window,0.04189817065844498,577.7360139319029,,,,right_not_found_within_width_search_window,0.2871474136262308,586.8459992402771,710.4747705364491,123.62877129617198,0.5425324999561211,ok,0.5323966565940168,596.8108299933374,670.6108686649721,73.80003867163475,0.3238640897066019,ok,0.6141464042499454,600.1453468772554,655.9940991237876,55.84875224653217,0.24508666435868176,ok
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif|channel=0|roi_id=1|peak_row_type=peak|peak_id=4,57,220110n_0036.tif,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif,220110n_0036.tif.frames,Control,,,,,,,,,True,0,1,0.0043884,0.414,260710,19:50:11.624,1,ok,2500,11,269,0.0043884,1238.0176882149879,percentile,20.0,1.0,single_exponential,derivative_threshold,df_f_signal,150.0,500.0,100.0,0.8625300487136133,0.8770590178424756,0,,peak,4,ok,0,,798,3.5019432,-0.15124252989408332,832,3.6511487999999996,0.8482466954013522,0.9994892252954355,derivative_threshold,0.9917783999999998,0.9917783999999998,-0.13340972023407205,ok,,0.020908159262257434,ok,,0.9816564156354243,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,10.750927269392408,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.051293607364539764,801.959288314097,,,,right_not_found_within_width_search_window,0.04865531516500379,804.258966804304,,,,right_not_found_within_width_search_window,0.3485020827536344,812.4913481636672,931.0437711204218,118.55242295675453,0.5202554529034216,ok,0.6483488503422652,822.2307367256783,892.1201794177363,69.88944269205797,0.3067028303098272,ok,0.7482977728718085,825.7007560511759,872.0507622901742,46.35000623899839,0.20340236737922052,ok
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif|channel=0|roi_id=1|peak_row_type=peak|peak_id=5,58,220110n_0036.tif,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif,220110n_0036.tif.frames,Control,,,,,,,,,True,0,1,0.0043884,0.414,260710,19:50:11.624,1,ok,2500,11,269,0.0043884,1238.0176882149879,percentile,20.0,1.0,single_exponential,derivative_threshold,df_f_signal,150.0,500.0,100.0,0.8625300487136133,0.8770590178424756,0,,peak,5,ok,0,,1024,4.4937216,-0.12511010847854961,1058,4.6429272,0.6791553525451917,0.8042654610237413,derivative_threshold,0.9917783999999998,0.9917784000000003,-0.11814147548587389,ok,,0.02444835455800098,ok,,0.7972968280310655,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,8.005538955759484,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.044683562376175476,1027.5854072754225,,,,right_not_found_within_width_search_window,0.03574298372619866,1030.1275766531514,,,,right_not_found_within_width_search_window,0.27702262203332106,1039.8355691922063,1161.5115429233538,121.67597373114745,0.5339628431217674,ok,0.5183022603404435,1050.6486541659228,1125.5250871805858,74.87643301466301,0.3285877386415471,ok,0.5987288064428176,1053.9679057841784,1109.6594964277215,55.69159064354312,0.24439697638012461,ok
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif|channel=0|roi_id=1|peak_row_type=peak|peak_id=6,59,220110n_0036.tif,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif,220110n_0036.tif.frames,Control,,,,,,,,,True,0,1,0.0043884,0.414,260710,19:50:11.624,1,ok,2500,11,269,0.0043884,1238.0176882149879,percentile,20.0,1.0,single_exponential,derivative_threshold,df_f_signal,150.0,500.0,100.0,0.8625300487136133,0.8770590178424756,0,,peak,6,ok,0,,1250,5.4855,-0.14735217809787027,1284,5.634705599999999,0.8311457140856854,0.9784978921835557,derivative_threshold,0.9917784000000003,0.9917783999999994,-0.12671215717695758,ok,,0.021313269691310838,ok,,0.957857871262643,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,9.741705012779233,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.04950238887951469,1253.9932294476287,,,,right_not_found_within_width_search_window,0.048347400338840885,1256.476472578664,,,,right_not_found_within_width_search_window,0.34189676799390756,1266.2986091486566,1387.211798894967,120.91318974631031,0.5306154418827081,ok,0.6354461356489743,1275.4585414960864,1347.3828831291773,71.92434163309099,0.3156327808226565,ok,0.7332959248673299,1278.9233361514314,1329.2026885698644,50.279352418433064,0.22064591015305166,ok
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif|channel=0|roi_id=1|peak_row_type=peak|peak_id=7,60,220110n_0036.tif,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif,220110n_0036.tif.frames,Control,,,,,,,,,True,0,1,0.0043884,0.414,260710,19:50:11.624,1,ok,2500,11,269,0.0043884,1238.0176882149879,percentile,20.0,1.0,single_exponential,derivative_threshold,df_f_signal,150.0,500.0,100.0,0.8625300487136133,0.8770590178424756,0,,peak,7,ok,0,,1476,6.477278399999999,-0.1235357056205473,1510,6.626484,0.6499322843298815,0.7734679899504288,derivative_threshold,0.9917783999999994,0.9917784000000003,-0.1122129845999594,ok,,0.023099007179992994,ok,,0.7621452689298409,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,8.130907702705368,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.04618890662550443,1479.246500251809,,,,right_not_found_within_width_search_window,0.031157892369538448,1481.7218285489798,,,,right_not_found_within_width_search_window,0.26319828935466705,1490.9918709501771,1612.1992468676679,121.20737591749071,0.5319064484763162,ok,0.49523868633979573,1501.9289863259326,1575.3536982943697,73.42471196843712,0.3222170060022895,ok,0.5725854853348387,1505.2516823576411,1560.7424760265076,55.490793668866445,0.2435157989364535,ok
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif|channel=0|roi_id=1|peak_row_type=peak|peak_id=8,61,220110n_0036.tif,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif,220110n_0036.tif.frames,Control,,,,,,,,,True,0,1,0.0043884,0.414,260710,19:50:11.624,1,ok,2500,11,269,0.0043884,1238.0176882149879,percentile,20.0,1.0,single_exponential,derivative_threshold,df_f_signal,150.0,500.0,100.0,0.8625300487136133,0.8770590178424756,0,,peak,8,ok,0,,1701,7.4646684,-0.1575581439850259,1735,7.613874,0.7790944983388248,0.9366526423238507,derivative_threshold,0.9873900000000004,0.9873900000000004,-0.13579375481921782,ok,,0.021407622660770332,ok,,0.9148882531580427,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,8.711468749291178,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.06389287975264082,1704.8225326725305,,,,right_not_found_within_width_search_window,0.029772384479744257,1707.538392797863,,,,right_not_found_within_width_search_window,0.3107681771768994,1716.7457602331613,1843.0920787205084,126.34631848734716,0.5544581840498742,ok,0.5917639698740548,1725.8402597441836,1804.4381371794893,78.59787743530569,0.34491892533709545,ok,0.6854292341064397,1729.5433464773705,1786.3135766273645,56.77023014999395,0.24913047799023344,ok
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif|channel=0|roi_id=1|peak_row_type=peak|peak_id=9,62,220110n_0036.tif,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif,220110n_0036.tif.frames,Control,,,,,,,,,True,0,1,0.0043884,0.414,260710,19:50:11.624,1,ok,2500,11,269,0.0043884,1238.0176882149879,percentile,20.0,1.0,single_exponential,derivative_threshold,df_f_signal,150.0,500.0,100.0,0.8625300487136133,0.8770590178424756,0,,peak,9,ok,0,,1927,8.4564468,-0.10695819413217314,1961,8.6056524,0.6011114733542514,0.7080696674864245,derivative_threshold,0.9917784000000003,0.9917784000000003,-0.08896415534750664,ok,,0.026017265583302755,ok,,0.6900756287017581,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,7.155154748891282,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.03615122738353069,1930.9948580826392,,,,right_not_found_within_width_search_window,0.034655739365111765,1933.4855629521403,,,,right_not_found_within_width_search_window,0.24707663961103912,1942.392463698656,2068.0161976734025,125.62373397474653,0.5512871941747777,ok,0.4594975398569665,1953.1074786821503,2035.1489754615147,82.04149677936448,0.36003090446656305,ok,0.530304506605609,1956.0695495657792,2021.2973447505613,65.22779518478205,0.28624565638889754,ok
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif|channel=0|roi_id=1|peak_row_type=peak|peak_id=10,63,220110n_0036.tif,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif,220110n_0036.tif.frames,Control,,,,,,,,,True,0,1,0.0043884,0.414,260710,19:50:11.624,1,ok,2500,11,269,0.0043884,1238.0176882149879,percentile,20.0,1.0,single_exponential,derivative_threshold,df_f_signal,150.0,500.0,100.0,0.8625300487136133,0.8770590178424756,0,,peak,10,ok,0,,2153,9.4482252,-0.12849928270520325,2187,9.5974308,0.7704244777569281,0.8989237604621314,derivative_threshold,0.9917783999999994,0.9917783999999994,-0.11489984572396489,ok,,0.01943167451189252,ok,,0.885324323480893,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,8.62769016754249,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.03860690665899011,2157.231219594724,,,,right_not_found_within_width_search_window,0.05128546938722303,2160.02503910895,,,,right_not_found_within_width_search_window,0.3209625975258624,2169.252581254984,2293.8732674915686,124.62068623658479,0.5468854194806286,ok,0.5906397256645018,2178.09342501285,2255.024377903124,76.93095289027406,0.33760379366367865,ok,0.680532101710715,2181.407269071291,2235.784127915773,54.37685884448183,0.23862740735312404,ok
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif|channel=0|roi_id=1|peak_row_type=peak|peak_id=11,64,220110n_0036.tif,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0036.tif.frames/220110n_0036.tif,220110n_0036.tif.frames,Control,,,,,,,,,True,0,1,0.0043884,0.414,260710,19:50:11.624,1,ok,2500,11,269,0.0043884,1238.0176882149879,percentile,20.0,1.0,single_exponential,derivative_threshold,df_f_signal,150.0,500.0,100.0,0.8625300487136133,0.8770590178424756,0,,peak,11,ok,0,,2380,10.444391999999999,-0.08606223587354044,2414,10.593597599999999,0.5853363861909456,0.6713986220644861,derivative_threshold,0.9961667999999992,0.9961667999999992,-0.08990276884605644,ok,,0.020435794154361777,ok,,0.675239155037002,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,7.664369352634267,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.01892237366709182,2383.178426605943,,,,right_not_found_within_width_search_window,0.0482174885393568,2385.4302273128837,,,,right_not_found_within_width_search_window,0.2496370751587026,2394.6429006133926,,,,right_not_found_within_width_search_window,0.4510566617780485,2405.3480263554134,2486.7924045894997,81.44437823408634,0.3574105094424645,ok,0.518196523984497,2408.725593220814,2473.39521864489,64.669625424076,0.2837961842110151,ok
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0049.tif.frames/220110n_0049.tif|channel=0|roi_id=1|peak_row_type=peak|peak_id=1,65,220110n_0049.tif,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0049.tif.frames/220110n_0049.tif,220110n_0049.tif.frames,Control,,,,,,,,,True,0,1,0.0040084000000000005,0.414,260630,21:06:37.192,1,ok,2500,5,289,0.0040084000000000005,1188.4397929210463,percentile,20.0,1.0,single_exponential,derivative_threshold,df_f_signal,200.0,500.0,100.0,1.068416799472111,1.0657240934128993,0,,peak,1,ok,0,,216,0.8658144000000001,-0.032776976346986675,266,1.0662344000000001,1.1514814740299122,1.184258450376899,derivative_threshold,,,-0.04432598752437416,ok,,0.005874172774075102,ok,,1.1958074615542864,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,21.087640412039157,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.08564886869070322,218.47619479017885,,,,right_not_found_within_width_search_window,0.20407471372839311,219.92286609089436,,,,right_not_found_within_width_search_window,0.5593522488414628,225.21479283788253,,,,right_not_found_within_width_search_window,0.9146297839545325,236.52436562383502,347.7929324915209,111.26856686768588,0.44600892343243215,ok,1.0330556289922224,246.58293253526486,322.5154066664445,75.93247413117965,0.3043677293074205,ok
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0049.tif.frames/220110n_0049.tif|channel=0|roi_id=1|peak_row_type=peak|peak_id=2,66,220110n_0049.tif,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/diameter-sample-data/Control/220110n_0049.tif.frames/220110n_0049.tif,220110n_0049.tif.frames,Control,,,,,,,,,True,0,1,0.0040084000000000005,0.414,260630,21:06:37.192,1,ok,2500,5,289,0.0040084000000000005,1188.4397929210463,percentile,20.0,1.0,single_exponential,derivative_threshold,df_f_signal,200.0,500.0,100.0,1.068416799472111,1.0657240934128993,0,,peak,2,ok,0,,710,2.8459640000000004,-0.08836282725340876,760,3.046384,0.9195915602782336,1.0079543875316423,derivative_threshold,1.9801496000000003,1.9801496,-0.10977670721564184,ok,,0.004015459306564901,ok,,1.0293682674938756,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,17.68789338794457,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.012432611499755483,711.8180082238761,,,,right_not_found_within_width_search_window,0.11322805025291972,713.2903445447107,,,,right_not_found_within_width_search_window,0.4156143665124124,719.0472135953087,,,,right_not_found_within_width_search_window,0.7180006827719052,730.2085379072323,862.5183694170214,132.3098315097891,0.5303507286238387,ok,0.8187961215250694,740.3441888811094,833.1593501711261,92.8151612900167,0.372040292514903,ok
